Ident	IATA	GridLevel	StationType	Latitude	Longitude	MapworldX	MapworldY	FullName	State
CWJV		4	1	50.233	-119.3	0	0	VERNON	BC
CWJW		2	1	52.883	-118.067	0	0	JASPER	AB
CWKG		3	1	44.433	-65.2	0	0	KEJIMKUJIK	NS
CWKH		5	1	48.583	-123.583	0	0	MALAHAT	BC
CWKW		1	1	59.983	-64.167	0	0	CAPE KAKKIVIAK	NF
CWLB		4	1	54.767	-112.017	0	0	LAC LA BICHE	AB
CWLM		6	1	48.417	-123.317	0	0	VICTORIA/GONZALE	BC
CWLN		6	1	49.967	-119.383	0	0	KELOWNA/FIR	BC
CWLO		4	1	49.783	-99.633	0	0	SHILO	MB
CWLP		4	1	50.933	-127.633	0	0	HERBERT ISLAND	BC
CWLW		6	1	49.967	-119.383	0	0	KELOWNA/MET	BC
CWLY		3	1	50.233	-121.583	0	0	LYTTON	BC
CWME		3	1	52.183	-127.467	0	0	CATHEDRAL POINT	BC
CWMH		3	1	52.3	-55.833	0	0	MARY'S HARBOUR	NF
CWMI		3	1	48.017	-64.5	0	0	MISCOU ISLAND	NB
CWMK		3	1	45.7	-65.167	0	0	MECHANIC/RADAR	NB
CWMM		4	1	49.2	-122.683	0	0	MEADOWS	BC
CWMS		1	1	52.267	-128.717	0	0	MCINNES ISLAND	BC
CWMX		3	1	57.033	-111.567	0	0	MILDRED LAKE	AB
CWNC		4	1	43.95	-78.167	0	0	COBURG	ON
CWNE		2	1	47.083	-64	0	0	NORTH POINT	NB
CWNK		4	1	49.5	-98.033	0	0	CARMAN	MB
CWNM		4	1	49.5	-117.3	0	0	NELSON	BC
CWNP		3	1	50.267	-117.817	0	0	NAKUSP	BC
CWNR		5	1	50.95	-115.183	0	0	NAKISKA RIDGETOP	AB
CWOE		3	1	49.117	-110.467	0	0	ONEFOUR	AB
CWOJ		3	1	50.633	-98.033	0	0	OAKPORT MARINE	MB
CWOO		3	1	50.717	-99.533	0	0	WILSON CREEK	MB
CWPB		5	1	44.85	-79.867	0	0	BEAUSOLEIL ISL	ON
CWPE		4	1	45.1	-66.5	0	0	POINT LEPREAU	NB
CWPF		5	1	48.433	-123.433	0	0	ESQUIMALT HARBOR	BC
CWPO		3	1	49.2	-98.9	0	0	PILOT MOUND	MB
CWPR		5	1	50.6	-120.517	0	0	PRINCETON	BC
CWPU		2	1	52.117	-124.133	0	0	PUNTZI MOUNTAIN	BC
CWPZ		5	1	54.233	-125.767	0	0	BURNS LAKE	BC
CWQC		3	1	49.25	-124.833	0	0	PORT ALBERNI	BC
CWQK		4	1	48.3	-123.533	0	0	RACE ROCKS	BC
CWQL		6	1	49.7	-112.783	0	0	LETHBRIDGE	AB
CWQQ		4	1	52.45	-113.75	0	0	LACOMBE CDA2	AB
CWQX		6	1	48.95	-54.567	0	0	NEWFOUNDLAND WXC	NF
CWRA		2	1	46.65	-53.067	0	0	CAPE RACE	NF
CWRD		2	1	56.533	-115.267	0	0	RED EARTH	AB
CWRK		3	1	45.067	-77.867	0	0	BANCROFT	ON
CWRN		2	1	45.35	-60.983	0	0	HART ISLAND	NS
CWRT		2	1	49.633	-114.483	0	0	CROWSNEST PASS	AB
CWRU		1	1	50.117	-127.933	0	0	SOLANDER ISLAND	BC
CWRV		3	1	53.033	-112.817	0	0	CAMROSE	AB
CWRY		4	1	49.133	-112.05	0	0	MILK RIVER	AB
CWSA		1	1	43.933	-60.017	0	0	SABLE ISLAND	NS
CWSE		6	1	53.533	-114.1	0	0	EDMONTON/STONY	AB
CWSK		4	1	49.783	-123.167	0	0	SQUAMISH	BC
CWSL		2	1	50.7	-119.283	0	0	SALMON ARM	BC
CWSO		4	1	43.367	-81.383	0	0	EXETER/RADAR	ON
CWSP		3	1	48.383	-123.917	0	0	SHERINGHAM POINT	BC
CWSS		3	1	45.2	-67.25	0	0	ST STEPHEN	NB
CWSU		2	1	49.017	-95.6	0	0	SPRAGUE	MB
CWSW		4	1	49.75	-114.883	0	0	SPARWOOD	BC
CWSZ		3	1	51.083	-97.55	0	0	FISHER BRANCH	MB
CWTP		3	1	47.333	-53.183	0	0	HOLYROOD/RADAR	NF
CWTU		3	1	54.717	-58.35	0	0	TUKIALIK BAY	NF
CWUJ		6	1	49.017	-122.483	0	0	ALDERGROVE/RADAR	BC
CWUR		3	1	45.367	-63.267	0	0	TRURO	NS
CWUS		1	1	49.567	-119.65	0	0	SUMMERLAND	BC
CWUT		3	1	50.45	-100.6	0	0	SHOAL LAKE	MB
CWVA		2	1	48.667	-53.117	0	0	BONAVISTA	NF
CWVF		5	1	49.1	-123.3	0	0	SAND HEADS	BC
CWVI		4	1	53.517	-112.1	0	0	VEGREVILLE	AB
CWVO		4	1	50.05	-112.133	0	0	VAUXHALL CDA	AB
CWVR		6	1	49.183	-123.167	0	0	VANCOUVER/MET	BC
CWVU		3	1	44.283	-66.35	0	0	BRIER ISLAND	NS
CWVV		6	1	48.533	-123.467	0	0	VICTORIA HARTLAN	BC
CWVW		3	1	48.167	-52.933	0	0	GRATES COVE	NF
CWWA		5	1	49.35	-123.183	0	0	WEST VANCOUVER	BC
CWWB		5	1	43.3	-79.8	0	0	BURLINGTON PIERS	ON
CWWC		1	1	58.183	-103.7	0	0	COLLINS BAY	NN
CWWE		2	1	43.983	-64.667	0	0	WESTERN HEAD	NS
CWWG		6	1	49.9	-97.233	0	0	WINNIPEG/MET	MB
CWWK		5	1	49.017	-122.783	0	0	WHITE ROCK	BC
CWWO		3	1	53.383	-118.333	0	0	WILLOW CREEK	AB
CWWP		4	1	50.65	-99.933	0	0	WASAGAMING	MB
CWWU		5	1	47.517	-52.983	0	0	LONG POND	NF
CWWW		6	1	55.7	-119.233	0	0	SPIRIT RIVER/RAD	AB
CWWX		3	1	45.333	-81.733	0	0	COVE ISLAND	ON
CWXA		4	1	51.083	-115.067	0	0	BOW VALLEY	AB
CWXB		3	1	51.183	-101.367	0	0	ROBLIN	MB
CWXI		4	1	51.017	-57.1	0	0	FEROLLE POINT	NF
CWXL		3	1	49.733	-111.45	0	0	BOW ISLAND	AB
CWXN		3	1	50.183	-113.883	0	0	STAVELY	AB
CWYC		6	1	51.1	-114.017	0	0	CALGARY/MET	AB
CWYJ		6	1	48.45	-123.3	0	0	VICTORIA UNV	BC
CWYK		1	1	57.133	-61.483	0	0	CAPE KIGLAPAIT	NF
CWYL		3	1	51.45	-116.333	0	0	YOHO PARK	AB
CWYW		2	1	50.3	-88.9	0	0	ARMSTRONG	ON
CWYY		3	1	49.033	-119.433	0	0	OSOYOOS	BC
CWZA		3	1	49.25	-121.767	0	0	AGASSIZ	BC
CWZB		2	1	47.567	-59.167	0	0	PORT AUX BASQUES	NF
CWZF		6	1	45.867	-66.533	0	0	FREDERICTON/MET	NB
CWZG		2	1	51.2	-115.55	0	0	BANFF/MARS	AB
CWZN		3	1	47.367	-55.8	0	0	SAGONA ISLAND	NF
CWZO		5	1	48.55	-123.233	0	0	KELP REEFS	BC
CWZQ		2	1	46.533	-61.083	0	0	GRAND ETANG	NS
CWZT		6	1	51.1	-100.05	0	0	DAUPHIN	MB
CWZZ		2	1	58.333	-62.583	0	0	SAGLEK	NF
CXAF		2	1	54.283	-112.967	0	0	ABEE	AB
CXAG		3	1	53.917	-112.283	0	0	ANDREW AGDM	AB
CXAJ		3	1	54.767	-112.817	0	0	ATMORE AGDM	AB
CXAK		3	1	52.35	-112.6	0	0	STETTLER AGDM	AB
CXBA		2	1	52.117	-110.1	0	0	BODO AGDM	AB
CXBD		2	1	54.1	-114.45	0	0	BARRHEAD	AB
CXBQ		1	1	58.7	-98.5	0	0	TADOULE LAKE	MB
CXBR		3	1	49.617	-113.767	0	0	BROCKET	AB
CXBW		2	1	49.8	-112.3	0	0	BARNWELL	AB
CXCA		2	1	49.15	-88.35	0	0	CAMERON FALLS	ON
CXCD		3	1	56.317	-119.75	0	0	CLEARDALE AGDM	AB
CXCH		5	1	46.65	-60.95	0	0	CHETICAMP	NS
CXCP		2	1	50.283	-113.35	0	0	CHAMPION AGDM	AB
CXCS		3	1	51.933	-110.717	0	0	CONSORT AGDM	AB
CXCY		5	1	45.233	-81.533	0	0	CYPRUS LAKE	ON
CXDB		4	1	49.05	-112.817	0	0	DEL BONITA AGDM	AB
CXDI		3	1	42.867	-80.55	0	0	DELHI	ON
CXDP		3	1	54.317	-113.95	0	0	DAPP	AB
CXDR		6	1	49.85	-92.8	0	0	DRYDEN/RADAR	ON
CXDW		3	1	49.4	-98.317	0	0	DEERWOOD RCS	MB
CXEA		3	1	50.633	-93.217	0	0	EAR FALLS	ON
CXEC		6	1	53.567	-113.517	0	0	EDMONTON/MUNI CR	AB
CXEG		6	1	53.3	-113.6	0	0	EDMONTON/INTL CS	AB
CXEL		3	1	58.983	-110.433	0	0	EGG ISLAND	AB
CXET		5	1	44.233	-79.783	0	0	EGBERT	ON
CXFA		3	1	50.45	-126	0	0	FANNY ISLAND	BC
CXFM		4	1	49.483	-111.483	0	0	FOREMOST AGDM	AB
CXFR		3	1	56.083	-118.433	0	0	FAIRVIEW	AB
CXFV		2	1	58.383	-116.033	0	0	FORT VERMILLION	AB
CXFW		2	1	50.55	-101.1	0	0	FOXWARREN/RADAR	MB
CXGH		6	1	50.633	-96.967	0	0	GIMLI HARBOUR CS	MB
CXGM		2	1	44.7	-66.8	0	0	GRAND MANAN	NB
CXGO		4	1	45.1	-63.7	0	0	GORE/RADAR	NS
CXHD		2	1	53.183	-112.25	0	0	HOLDEN AGDM	AB
CXHP		2	1	55.4	-116.483	0	0	HIGH PRAIRIE AGD	AB
CXHR		4	1	51.1	-112.3	0	0	HUSSAR	AB
CXIB		3	1	46.667	-60.4	0	0	INGONISH BEACH	NS
CXKM		3	1	52.85	-111.867	0	0	KILLAM AGDM	AB
CXKT		4	1	45.067	-64.483	0	0	KENTVILLE	NS
CXMB		4	1	45.95	-60.2	0	0	MARION BRIDGE/RA	NS
CXMD		4	1	49.183	-98.083	0	0	MORDEN CDA	MB
CXME		3	1	48.933	-57.833	0	0	MARBLE MOUNTAIN	NF
CXMG		3	1	56.967	-117.45	0	0	MANNING AGDM	AB
CXMI		4	1	44.6	-63.517	0	0	MCNABS ISLAND	NS
CXMM		6	1	56.65	-111.217	0	0	FORT MCMURRAY	AB
CXMN		3	1	49.117	-111.65	0	0	MASINASIN	AB
CXMO		5	1	51.667	-112.683	0	0	MORRIN AGDM	AB
CXMW		6	1	50.033	-110.717	0	0	MEDICINE HAT	AB
CXMY		5	1	44.983	-62.483	0	0	MALAY FALLS	NS
CXNM		4	1	46.817	-60.667	0	0	NORTH MOUNTAIN	NS
CXOL		3	1	51.767	-115.083	0	0	OLDS AGDM	AB
CXOY		3	1	51.383	-110.35	0	0	OYEN	AB
CXPA		4	1	55.617	-118.3	0	0	PEORIA	AB
CXPL		3	1	51.133	-111.7	0	0	POLLOCKVILLE AGD	AB
CXPV		3	1	58.45	-111.667	0	0	PRAIRIE RIVER	AB
CXRH		3	1	49.567	-57.883	0	0	ROCKY HARBOUR	NF
CXRL		2	1	54.5	-111.6	0	0	RICH LAKE	AB
CXSC		3	1	50.3	-110.083	0	0	SCHULER AGDM	AB
CXSI		5	1	48.85	-123.75	0	0	MT SICKER/RADAR	BC
CXSL		4	1	54.283	-112.5	0	0	SMOKY LAKE AGDM	AB
CXSM		3	1	51.2	-113.4	0	0	STRATHMORE/RADAR	AB
CXSP		3	1	54.017	-111.267	0	0	ST PAUL AGDM	AB
CXSR		3	1	55.683	-119.233	0	0	SPIRIT RIVER	AB
CXSS		4	1	50.367	-119.067	0	0	MT SILVER STAR/R	AB
CXSW		6	1	47.5	-52.783	0	0	ST JOHNS WEST CD	NF
CXTD		3	1	45.617	-61.683	0	0	TRACADIE	NS
CXTH		3	1	53.633	-111.683	0	0	TWO HILLS AGDM	AB
CXTL		3	1	51.667	-124.4	0	0	TATLAYOKO LAKE	BC
CXTP		3	1	48.55	-53.967	0	0	TERRA NOVA NATL	NF
CXVG		3	1	53.15	-115.117	0	0	VIOLET GROVE	AB
CXVM		3	1	53.35	-110.883	0	0	VERMILION AGDM	AB
CXVW		3	1	55.1	-117.2	0	0	VALLEYVILLE AGDM	AB
CXWF		5	1	49.117	-117.733	0	0	WARFIELD	BC
CXWG		6	1	49.917	-97.25	0	0	WINNIPEG	MB
CXWL		3	1	50.15	-97.783	0	0	WOODLANDS/RADAR	MB
CXWM		4	1	49.5	-112.117	0	0	WRENTHAM AGDM	AB
CXWN		6	1	49.883	-97.133	0	0	WINNIPEG/FORKS	MB
CXWR		5	1	47.717	-59.317	0	0	WRECKHOUSE	NF
CXWT		5	1	47.133	-55.333	0	0	WINTERLAND	NF
CXZU		6	1	54.15	-115.783	0	0	WHITECOURT	AB
CYAM	YAM	2	1	46.485	-84.509	0	0	SAULT ST MARIE	ON
CYAS		2	1	60.017	-70	0	0	KANGIRSUK	QB
CYAW	YAW	6	1	44.64	-63.499	0	0	HALIFAX/SHEARWAT	NS
CYAY	YAY	1	1	51.392	-56.084	0	0	ST ANTHONY	NF
CYAZ	YAZ	3	1	49.082	-125.772	0	0	TOFINO	BC
CYBB	YBB	1	1	68.533	-89.817	0	0	KUGAARUK	NN
CYBC	YBC	1	1	49.132	-68.207	0	0	BAIE COMEAU	QB
CYBD	YBD	1	1	52.388	-126.596	0	0	BELLA COOLA	BC
CYBG	YBG	1	1	48.331	-70.996	0	0	BAGOTVILLE	QB
CYBK	YBK	1	1	64.3	-96.083	0	0	BAKER LAKE	NN
CYBL	YBL	1	1	49.951	-125.271	0	0	CAMPBELL RIVER	BC
CYBN		5	1	44.25	-79.917	0	0	BORDEN	ON
CYBR	YBR	1	1	49.91	-99.951	0	0	BRANDON	MB
CYBV	YBV	2	1	52.35	-97.033	0	0	BERENS RIVER	MB
CYBW	YBW	4	1	51.103	-114.374	0	0	CALGARY/SPRINGBA	AB
CYBX	YBX	2	1	51.444	-57.185	0	0	BLANC SABLON	QB
CYCA	YCA	6	1	53.683	-57.033	0	0	CARTWRIGHT	NF
CYCB	YCB	1	1	69.1	-105.117	0	0	CAMBRIDGE BAY	NN
CYCD	YCD	2	1	49.052	-123.87	0	0	NANAIMO	BC
CYCG	YCG	1	1	49.296	-117.632	0	0	CASTLEGAR	BC
CYCH	YCH	3	1	47.008	-65.449	0	0	MIRAMICHI	NB
CYCO	YCO	1	1	67.817	-115.15	0	0	KUGLUKTUK	NT
CYCP	YCP	1	1	52.117	-119.283	0	0	BLUE RIVER	BC
CYCQ	YCQ	1	1	55.687	-121.625	0	0	CHETWYND	BC
CYCT		1	1	52.075	-111.445	0	0	CORONATION	AB
CYCX	YCX	6	1	45.833	-66.433	0	0	GAGETOWN	NB
CYCY	YY	1	1	70.483	-68.517	0	0	CLYDE RIVER	NN
CYDA	YDA	1	1	64.05	-139.133	0	0	DAWSON	YK
CYDB	YDB	2	1	61.367	-139.05	0	0	BURWASH	YK
CYDC	YDC	3	1	49.468	-120.512	0	0	PRINCETON	BC
CYDF	YDF	1	1	49.211	-57.391	0	0	DEER LAKE	NF
CYDL		1	1	58.417	-130	0	0	DEASE LAKE	BC
CYDN	YDN	2	1	51.101	-100.052	0	0	DAUPHIN	MB
CYDP	YDP	3	1	56.55	-61.683	0	0	NAIN	NF
CYDQ	YDQ	2	1	55.742	-120.182	0	0	DAWSON CREEK	BC
CYED	YED	6	1	53.667	-113.467	0	0	EDMONTON/NAMAO	AB
CYEE		2	1	44.683	-79.928	0	0	MIDLAND/VOR	ON
CYEG	YEG	1	1	53.31	-113.58	0	0	EDMONTON/INTL	AB
CYEK	YEK	1	1	61.1	-94.067	0	0	ARVIAT	NN
CYEL	YEL	4	1	46.351	-82.561	0	0	ELLIOT LAKE	ON
CYEN	YEN	1	1	49.21	-102.966	0	0	ESTEVAN	SA
CYET	YET	1	1	53.579	-116.465	0	0	EDSON	AB
CYEV	YEV	1	1	68.3	-133.483	0	0	INUVIK MIKE ZUBKO	NT
CYFB	YFB	1	1	63.75	-68.533	0	0	IQALUIT	NN
CYFC	YFC	3	1	45.869	-66.532	0	0	FREDERICTON	NB
CYFO	YFO	1	1	54.678	-101.682	0	0	FLIN FLON	MB
CYFR	YFR	2	1	61.183	-113.683	0	0	FORT RESOLUTION	NT
CYFS	YFS	1	1	61.75	-121.233	0	0	FORT SIMPSON	NT
CYFT	YFT	2	1	55.083	-59.183	0	0	MAKKOVIK	NF
CYGE	YGE	1	1	51.299	-116.982	0	0	GOLDEN	BC
CYGH	YGH	1	1	66.267	-128.617	0	0	FORT GOOD HOPE	NT
CYGK	YGK	1	1	44.225	-76.597	0	0	KINGSTON	ON
CYGL	YGL	1	1	53.625	-77.704	0	0	LA GRANDE RIVIER	QB
CYGM	YGM	1	1	50.628	-97.043	0	0	GIMLI	MB
CYGP	YGP	2	1	48.775	-64.479	0	0	GASPE	QB
CYGQ	YGQ	1	1	49.778	-86.939	0	0	GERALDTON	ON
CYGR	YGR	2	1	47.425	-61.778	0	0	GRINDSTONE ISL	QB
CYGV	YGV	1	1	50.282	-63.611	0	0	HAVRE ST PIERRE	QB
CYGX	YGX	6	1	56.35	-94.7	0	0	GILLAM	MB
CYHA	YHA	1	1	61.05	-69.633	0	0	QUAQTAQ	QB
CYHB	YHB	2	1	52.817	-102.311	0	0	HUDSON BAY	SA
CYHD	YHD	2	1	49.832	-92.744	0	0	DRYDEN	ON
CYHE	YHE	4	1	49.367	-121.483	0	0	HOPE	BC
CYHI	YHI	1	1	70.767	-117.8	0	0	HOLMAN	NT
CYHK	YHK	1	1	68.633	-95.883	0	0	GJOA HAVEN	NN
CYHM	YHM	1	1	43.173	-79.935	0	0	HAMILTON	ON
CYHU	YHU	4	1	45.518	-73.417	0	0	MONTREAL/ST HUBE	QB
CYHY	YHY	1	1	60.833	-115.783	0	0	HAY RIVER	NT
CYHZ	YHZ	1	1	44.881	-63.509	0	0	HALIFAX INTL	NS
CYIB	YIB	1	1	48.774	-91.639	0	0	ATIKOKAN	ON
CYIK	YIK	1	1	62.417	-77.933	0	0	IVUJIVIK	QB
CYIO	YIO	1	1	72.7	-77.967	0	0	POND INLET	NN
CYIV	YIV	1	1	53.85	-94.65	0	0	ISLAND LAKE	MB
CYJN		4	1	45.294	-73.281	0	0	ST JEAN/VOR	QB
CYJT	YJT	2	1	48.544	-58.55	0	0	STEPHENVILLE	NF
CYKA	YKA	2	1	50.702	-120.442	0	0	KAMLOOPS	BC
CYKD	YKD	3	1	68.217	-135	0	0	AKLAVIK	NT
CYKF	YKF	3	1	43.459	-80.384	0	0	WATERLOO	ON
CYKL	YKL	2	1	54.805	-66.805	0	0	SCHEFFERVILLE	QB
CYKO	YKO	2	1	60.8	-78.2	0	0	AKULIVIK	QB
CYKY	YKY	1	1	51.518	-109.181	0	0	KINDERSLEY	SA
CYKZ	YKZ	4	1	43.862	-79.37	0	0	TORONTO/BUTTONVI	ON
CYLD	YLD	1	1	47.82	-83.347	0	0	CHAPLEAU	ON
CYLJ	YLJ	2	1	54.125	-108.523	0	0	MEADOW LAKE	SA
CYLL	YLL	2	1	53.309	-110.072	0	0	LLOYDMINISTER	AB
CYLW	YLW	4	1	49.956	-119.378	0	0	KELOWNA	BC
CYMA	YMA	1	1	63.617	-135.867	0	0	MAYO	YK
CYMH	YMH	6	1	52.317	-55.833	0	0	MARY'S HARBOUR	NF
CYMJ	YMJ	1	1	50.33	-105.559	0	0	MOOSE JAW	SA
CYML	YML	2	1	47.598	-70.224	0	0	LA MALBAIE	QB
CYMM	YMM	1	1	56.653	-111.222	0	0	FORT MCMURRAY	AB
CYMO	YMO	1	1	51.291	-80.608	0	0	MOOSONEE	ON
CYMT	YMT	1	1	49.772	-74.528	0	0	CHIBOUGAMAU	QB
CYMX	YMX	4	1	45.68	-74.039	0	0	MONTREAL/MIRABEL	QB
CYNA	YNA	2	1	50.19	-61.789	0	0	NATASHQUAN	QB
CYND	YND	5	1	45.521	-75.564	0	0	GATINEAU	QB
CYNE	YNE	2	1	53.967	-97.833	0	0	NORWAY HOUSE	MB
CYNM	YNM	1	1	49.762	-77.803	0	0	MATAGAMI	QB
CYOC	YOC	1	1	67.567	-139.833	0	0	OLD CROW	YK
CYOD	YOD	1	1	54.405	-110.279	0	0	COLD LAKE	AB
CYOJ	YOJ	1	1	58.621	-117.165	0	0	HIGH LEVEL	AB
CYOW	YOW	2	1	45.322	-75.669	0	0	OTTAWA	ON
CYPA	YPA	2	1	53.214	-105.673	0	0	PRINCE ALBERT	SA
CYPC	YPC	1	1	69.35	-124.083	0	0	PAULATUK	NT
CYPE	YPE	2	1	56.227	-117.447	0	0	PEACE RIVER	AB
CYPG	YPG	2	1	49.903	-98.275	0	0	PORTAGE LAKE	MB
CYPL	YPL	1	1	51.446	-90.214	0	0	PICKLE LAKE	ON
